Title,Company_Name,Type,Colour ,orginal_price,dicounted_price,Discount,Rating,Location
Eaerphone Stereo Headphones Handsfree Earphone /In Ear Earbud with pouch,Eaerphone,In-Ear,Black,300,110,-63%,-12,Bangladesh
KZ ZSN PRO X 1BA+1DD KZ Hybrid Earphone,KZ,Earphone,baby pink,2000,1769,-12%,-146,Free Shipping
Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,Wireless,Active black,150,75,-50%,-26,Bangladesh
Overfly Bluetooth Headphones Metal Magnetic Sports Headsets Stereo Music Earbuds Wireless Bluetooth Earphones for Mobile Phone,Overfly,In-Ear,White,290,120,-59%,-5,Bangladesh
REMAX RM-711 In Ear Earphones Mobile Phone Earphone With Mic Noise Reduction Sound Insulation,REMAX,Earphoone,Red,550,239,-57%,-6,Free Shipping
QKZ DM9 Wired In-Ear Earphone,QKZ,In-Ear,Black,,560,,-30,Free Shipping
Lenovo HE05x Sports Magnetic Wireless Neckband Earphones,Lenovo,Wireless,baby pink,650,391,-40%,-5,Bangladesh
Vivo/Realme/Samsung/Oppo In Ear Earphone Best Sound quality for any Android - (White),Vivo/Realme/Samsung/Oppo,Earphone,Active black,220,96,-56%,-7,Bangladesh
KZ ZSN PRO X 1BA+1DD KZ Hybrid Earphone,KZ,In-Ear,White,2000,1801,-10%,-130,Free Shipping
Realme Buds Air wireless Bluetooth Headsets in-Ear Headphones,Realme,In-Ear,Red,850,299,-65%,-79,Free Shipping
Mi In Ear Earphone Best Bass Sound Quality For All Android Headphone - White Color,Mi,Earphone,Black,150,120,-20%,-207,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For All Android with free one - White,Oppo,Wireless,baby pink,290,109,-62%,-1,Bangladesh
BUY 1 GET 1 FREE- Realme Magnet- In Ear Headphones-For All Phones,BUY,In-Ear,Active black,220,110,-50%,-2,Bangladesh
M10 TWS Earphone 9D Stereo LED Digital Display Touch CVC8.0 Digital Noise Reduction Technology,M10,Earphoone,White,1200,583,-51%,-141,Free Shipping
Music U19 Earphone Colorful Matte Earbuds Stereo Wired Earphones with Microphone,Music,In-Ear,Red,150,46,-69%,-13,Free Shipping
Wireless Bluetooth Headphone P47 Stereo Earphone with SD Card Slot - Multicolor,Wireless,Wireless,Black,490,275,-44%,-6,Bangladesh
Vivo In Ear Earphone Exclusive Sound quality for any Android - White,Vivo,Earphone,baby pink,280,163,-42%,-38,Free Shipping
i12 Bluetooth Headset TWS Bluetooth 5.0 Noise Cancelling Touth Control Earphone With Charging Box - White,i12,In-Ear,Active black,750,295,-61%,-13,Bangladesh
Remax RM-512 WIRED MUSIC HEADSET Earphone in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Smartphones,Remax,In-Ear,White,359,159,-56%,-2,Free Shipping
"Replacement Ear Pads for Bose QuietComfort 35, QC35, QC25, QC2, QC15, Around-Ear AE2, AE2i, AE2w Headphones / Ear Cushion / Ear Cups / Ear Cover / Earpads Repair Parts (Gray)",Replacement,Earphone,Red,996,459,-54%,-2,Free Shipping
Premium Quality CREATIVE EP-530_Earphone with Mic,Premium,Wireless,Black,200,165,-18%,-8,Bangladesh
Vivo in ear earphones best sound quality-white for any android,Vivo,In-Ear,baby pink,200,96,-52%,-7,Bangladesh
XB450AP Extra Bass Headphones,XB450AP,Earphoone,Active black,650,256,-61%,-269,Bangladesh
ফ্রি শিপিং অরিজিনাল QKZ DM10 Zinc Alloy Metal Earphone - Black,ফ্রি,In-Ear,White,500,299,-40%,-7,Free Shipping
Vivo In Ear Earphone Best Sound quality for any Android - White,Vivo,Wireless,Red,240,109,-55%,-15,Bangladesh
Earphone for iPhone & Android Phone Remote & Mic Compatible NoiseIsolating Fit Compatible Headphones by MARI International,Earphone,Earphone,Black,549,399,-27%,-14,Bangladesh
P47 Model Wireless Headphones Subwoofer Mobile Phone (Gaming Headset),P47,In-Ear,baby pink,850,290,-66%,-8,Bangladesh
P47 Bluetooth Headset Headphones Wireless Earphone auriculares Hands Free Music With MF/TF FM Radio Mp3 Player,P47,In-Ear,Active black,890,270,-70%,,Bangladesh
Creative High Bass Audio Earphone with Pouch EP-530-Black,Creative,Earphone,White,350,130,-63%,,Bangladesh
Oppo In Ear Earphone Best Bass Sound Quality For good music - White,Oppo,Wireless,Red,99,65,-34%,-3,Bangladesh
Vivo SK-1V Music Earphone Voice Call Headset   Vivo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone  High Bass Sound Quality  Boom Bass Wired in-ear Headphones Compatible With All Vivo Smartphones,Vivo,In-Ear,Black,180,110,-39%,-3,Bangladesh
Plextone G30 In-Ear Gaming Headphones WITH MIC,Plextone,Earphoone,baby pink,1350,1200,-11%,-56,Bangladesh
For in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Samsung Smartphones,For,In-Ear,Active black,219,109,-50%,-10,Free Shipping
UiiSii HM13 In-Ear gaming Headset with Microphone,UiiSii,Wireless,White,800,306,-62%,-2,Bangladesh
Super Bass Headphones Ear Hook,Super,Earphone,Red,310,130,-58%,-7,Bangladesh
P47 Headband Bluetooth Wireless Headphones,P47,In-Ear,Black,850,275,-68%,-8,Free Shipping
Wiresto G5 Wired Gaming Earphones In Ear Headphones Earbuds Headset Noise Cancelling Stereo with Mic for Mobile Phone PS4 New Xbox One Free Case,Wiresto,In-Ear,baby pink,973,590,-39%,-470,Free Shipping
Realme wireless Bluetooth Headsets in-Ear Headphones,Realme,Earphone,Active black,800,325,-59%,-100,Bangladesh
Wiresto S960 In-Ear Wireless Headphones Earbuds Bluetooth5.0 Earphone Neckband Neck Hanging Soft Silicone IPX5 Waterproof Sport HIFI Stereo Headset Magnetic Headphones Support 32G TF Card,Wiresto,Wireless,White,1259,839,-33%,-138,Free Shipping
KZ ZSN Pro Dynamic Hybrid Dual Driver in Ear Earphones Detachable Tangle-Free Cable Musicians in-Ear Earbuds Headphones,KZ,In-Ear,Red,1850,1320,-29%,-32,Bangladesh
Vivo/RrealMe/Oppo In Ear Earphone Best Sound Quality for any Android - White,Vivo/RrealMe/Oppo,Earphoone,Black,200,100,-50%,-6,Bangladesh
Kin K-28 perfect sound high quality super bass Headphones With Mic,Kin,In-Ear,baby pink,180,79,-56%,-1,Bangladesh
Vivo In Ear Earphone Best Sound Quality for any mobile (white),Vivo,Wireless,Active black,200,92,-54%,-9,Free Shipping
Oppo in-ear Earphone Good Bass Sound Quality for All Android Mobile Phone High Bass Sound Quality Boom Bass Wired in-ear Headphones Compatible With All Oppo Smartphones,Oppo,Earphone,White,150,94,-37%,-4,Bangladesh
For Oppo In Ear Earphone balance Bass Sound Quality For All Android - White Color,For,In-Ear,Red,160,60,-63%,-30,Free Shipping
UiiSii HM12 Half in-Ear Headset Metal Bass Music Earphone Wired Headphones with Mic,UiiSii,In-Ear,Black,450,325,-28%,-54,Free Shipping
Wiresto Gaming Earphones In Ear Headphones Bluetooth 5.1 Earphones Neckband Headphone Neck Hanging Earphones Dual Mic Headset Earbuds Professional Gaming Earphone Waterproof Sport Earphone HIFI Stereo Headset Magnetic Headphones with Large Capacity,Wiresto,Earphone,baby pink,1003,669,-33%,-4,Free Shipping
QKZ SK3 Dual Driver Earphones Bass Sport Running Headset HIFI Monitor Earbuds Games Headphones With Mic,QKZ,Wireless,Active black,700,333,-52%,,Free Shipping
Buds 2 In-Ear Headphones Earphone Magnet in-Ear,Buds,In-Ear,White,199,45,-77%,-6,Free Shipping
TWS Neck Wireless Bluetooth Earphones 48H Long Life Sports Running Headset Waterproof Sport Earbuds Noise Reduction Headphones,TWS,Earphoone,Red,713,396,-44%,,China
Creative High Bass Audio Earphone (EP-530 ),Creative,In-Ear,Black,380,138,-64%,-16,Bangladesh
Wiresto Sleep Earphones Anti-noise In-ear Headphones Ultra-soft Silicone Earbuds Sleeping Headphones Noise Reduction painless earphone 3.5mm Wired Headset,Wiresto,Wireless,baby pink,463,299,-35%,-53,Free Shipping
SONY XB450AP Extra Bass Headphones,SONY,Earphone,Active black,420,235,-44%,-1,Bangladesh
Seaw High Quality Handsfree with Super Bass Ear-Hook Headphones S-Q140,Seaw,In-Ear,White,399,135,-66%,-1,Bangladesh
In Ear Earphone Best Bass Sound Quality For All Android - White Color,In,In-Ear,Red,250,120,-52%,-6,Bangladesh
UiiSii C100 Cheap Stereo Earbuds Wired In Ear Headphones Dynamic Drive Earphones mega bass headphone  with Mic 3.5mm Mobile Phone Music Earpiece,UiiSii,Earphone,Black,300,157,-48%,-20,Bangladesh
